x,y,f,m
5.046875,1.316090013146758030675867400013614e10,49.89808291942493204967156348183441,41
5.0625,1.5363324661685195848122560865858933e10,50.214304157989823426992543067452625,41
5.078125,1.7943270413941698017699871137019523e10,50.531498673424928440477468741585884,41
5.09375,2.0966925017130291392352430921102809e10,50.849666515465749798642463044662835,41
5.109375,2.4512330004035817110533639030895986e10,51.168807732856065379641032543988147,41
5.125,2.8671547098786265203658071985935384e10,51.488922373373131776479159766845492,41
5.140625,3.3553228072022848670451951391743618e10,51.810010483852086818314757226055666,42
5.15625,3.9285664738106634159437549931343097e10,52.132072110209582392353305851197529,41
5.171875,4.6020410455502682428925160672495472e10,52.455107297466677426510238847861483,41
5.1875,5.3936582182210814582801634283294456e10,52.779116089771019506237892519213641,42
5.203125,6.3245973312339928560206371470286488e10,53.104098530418342285416862174603024,42
5.21875,7.4199132874745923215310679568668725e10,53.430054661873304606913903452372471,42
5.234375,8.7092597048851102506312420517738519e10,53.756984525789696069448554878303339,42
5.25,1.0227749535603076000983606155076191e11,54.084888163030032660130104729453303,42
5.265625,1.2016979753325341721211884681559173e11,54.413765613684565012963396233582964,42
5.28125,1.4126251945399551365990770208345108e11,54.74361691708972084950258509107139,43
5.296875,1.6614026929562468407040690350178604e11,55.074442111846002205562902841727679,42
5.3125,1.9549659059175192604373236203315217e11,55.40624123583535714456050290828314,42
5.328125,2.3015464942120813748852564761857741e11,55.739014326238044800882550173023729,42
5.34375,2.7109192187246775828829600607045797e11,56.072761419549011783093185101192281,43
5.359375,3.1946966882670364252318069734843678e11,56.4074825515937971943038139473339,43
5.375,3.7666814254574322133090335300009865e11,56.743177757543982793367426586490147,43
5.390625,4.443286589971004092568309079876081e11,57.079847071932204123519203817925743,43
5.40625,5.2440389790298938295534252084946689e11,57.417490528666737772629146306348655,43
5.421875,6.1921806715381766242572390830119739e11,57.75610816104567929942631875504939,43
5.4375,7.3153889914732447716369619349086411e11,58.095700001770725761081336528823177,43
5.453125,8.6466384550623781363187673056261571e11,58.436266082960576207683690735349112,44
5.46875,1.0225233176645796075563291406984932e12,58.777806436163962966814105960795828,44
5.484375,1.2098044011695744243160168890296756e12,59.120321092372326025075196229413282,43
5.5,1.4320991720398328214768692898556993e12,59.463810082032142321681709157052979,44
5.515625,1.6960825893955779523526740235681547e12,59.80827343505692130068449359229222,44
5.53125,2.0097259604596727255674456840058252e12,60.153711180838877621849261532719227,44
5.546875,2.3825532090912244929044368864044011e12,60.500123348260291504446180393411181,44
5.5625,2.8259486723929900903276166679782595e12,60.84750996570456677211345496275671,45
5.578125,3.3535269564605975210069587612253329e12,61.195871061066996279487416198235038,44
5.59375,3.9815775686524701588997812566843506e12,61.545206661765244031455244885225702,44
5.609375,4.7295996908741165496985123170248118e12,61.895516794749552952754501034489544,44
5.625,5.6209456648395902783212162616258065e12,62.246801486512686928340878766652107,44
5.640625,6.683595646023072424958218687125083e12,62.599060763099615412648072166164319,44
5.65625,7.9510905940479362171871175139126407e12,62.952294650116948597795407315218093,45
5.671875,9.4636564814069728416279365800225848e12,63.306503172742130836229160899940046,44
5.6875,1.1269559536349301066112024863199432e13,63.661686355732399731523749604213842,45
5.703125,1.3426740753652176133359036610401214e13,64.017844223433518041470429585725438,45
5.71875,1.600478813096339986700661968904955e13,64.374976799788285279532212820388168,45
5.734375,1.9087317511501849368311577763235414e13,64.733084108344835653667728558953711,45
5.75,2.2774848015911856076293074483872352e13,65.092166172264728744879831696436428,45
5.765625,2.7188276412867731734062086321772542e13,65.452223014330839101113712589884274,46
5.78125,3.2473077125401251316704244519920989e13,65.813254656955050704829751506641764,46
5.796875,3.8804381772742327280425551643415721e13,66.175261122185762064251093352474902,45
5.8125,4.6393125275492920977555791998577202e13,66.538242431715207478502988823477184,45
5.828125,5.5493485913871418050649305074466567e13,66.902198606886599835212278992746887,45
5.84375,6.6411895926203939480637782871402848e13,67.267129668701100115235284068505324,46
5.859375,7.9517959228838789385625569648677642e13,67.633035637824618602666092205130227,46
5.875,9.5257686031368605896188508405024011e13,67.999916534594452628799859403345321,46
5.890625,1.1416954345623677267190234885542326e14,68.367772379025765515960791706898662,46
5.90625,1.3690393035859471241687816884985239e14,68.736603190817911230742971041883379,46
5.921875,1.6424681780744544291414250560094876e14,69.106408989360609105961466735704177,46
5.9375,1.9714845956474343514578568763479475e14,69.47718979373997284619400536195596,46
5.953125,2.3675827605385619202296409407650417e14,69.848945622744397892947096425359625,46
5.96875,2.8446725893290794397394151408290531e14,70.221676494870311091955804923761811,47
5.984375,3.4195954154559055533841589570108145e14,70.59538242832778647668702853081332,47
6,4.1127514558282387097173120259427992e14,70.970063441046030858537963111177834,46
6.015625,4.9488636146685027119690803058308003e14,71.345719550678742795291592472244415,47
6.03125,5.9579076798310297975764107467052363e14,71.722350774609348394907408570357107,47
6.046875,7.1762456857455327385540483013268597e14,72.099957129956117301496159432408839,47
6.0625,8.6480074585063582396289260675991602e14,72.478538633577162104169771837674111,47
6.078125,1.0426775472026234028359413295524995e15,72.858095302075324307198238755417482,47
6.09375,1.2577640560417142611080910781085631e15,73.238627151802949901379223369643057,47
6.109375,1.5179711282087252033693552759112815e15,73.620134198866557481576455733243308,47
6.125,1.8329178470795522276546296168514397e15,74.002616459131401763860301897248386,47
6.140625,2.2143059546888999287205266781281031e15,74.386073948225935267445943160185591,47
6.15625,2.6763775496804501229185745346920079e15,74.770506681546170841535955586473195,48
6.171875,3.2364748294231999474903925201757109e15,75.15591467425994763510566723222242,48
6.1875,3.915724945658948928686354382071234e15,75.542297941311103028498487462913406,48
6.203125,4.7398783290450629987422786966640267e15,75.929656497423552969307175295089649,48
6.21875,5.7403353510623751166562885915646873e15,76.317990357105283081293894629027283,48
6.234375,6.9554042204621843726367958111415393e15,76.707299534652252843940187150748323,48
6.25,8.4318429128837630412562131101053224e15,77.097584044152215071515843925912395,48
