x=1, n=16, |dx| = 0.5
i,p_i,q_i
3,1.1912118181314185827858623711510696888319029271617270754423083318e-1,1.5886569411498460187141467196441067643359742531757702439338634892e-3
4,4.8049327616195607446036346413850335363857110486486316337124407248e-3,4.2844213570824778819744626712582709405653907278564548581024238919e-5
5,1.0321540926194560323568088663962044012936310532859847186164475543e-4,4.6123637158679828911423638073971181032667118558535352266209084524e-7
6,9.2247274317363768004629259217656785983667182929869131559444038968e-7,1.5743666090090117841843136473523214522278097771076238092486162204e-22
relative error = 3.5544727855e-35

x=20, n=6, |dx| = 0.5
i,p_i,q_i
0,3.9949874211435988961575307466060030074331998485385802762005355978e1,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,1.2269101374372846892444513175271372277363540836225407297271676516e1,2.5698660206426065168382335774295263368140956032835474041537035718e-1
2,1.5678988581347404623817734332369636822236272399966995019582617021e0,2.6368173711558939978880133100300636838357471191225557029816456288e-2
3,1.0671945598382995370969327122270666226014589678264181145546165499e-1,1.3502643665616768432549495285060789579713167109320484242356587698e-3
4,4.0805204552551583514040850428040411587604723032400578330955363602e-3,3.4508596171317068436037902137478897887210115615861250219304692431e-5
5,8.3102181179800400518791162072438901301182940968376119227936684736e-5,3.5212472092918094222423974250549604877045673419139252039307582841e-7
6,7.0424944185837845852768610481034134629879515267238874125185248037e-7,6.0197275096484432747985273103636240068536939274886757616350413045e-23
relative error = 9.1619837042e-36

x=21, n=6, |dx| = 0.5
i,p_i,q_i
0,4.1952272355359242348630273255055711731258587271068197491410353581e1,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,1.2242814833394253387683360043981378720222389278804163314849125560e1,2.4409957105070132665311287122512941031890180910889972032364563675e-1
2,1.4868681856775050531186872855903217114557614806315147326459193686e0,2.3794210476089061293785413926885277816759574431217769056014867941e-2
3,9.6192437434549071063395777862536970539476133423207759321211637300e-2,1.1577716486461677984700023502671849870114898061010344784943305566e-3
4,3.4963294842206932217659059152297866679773604139280423163219999414e-3,2.8120450811269039882364418786222693305071252157856469138767787547e-5
5,6.7696281711108403689490308975697960147565933983758787934039850682e-5,2.7274714496597041469670843094257113527551608148010074924779577973e-7
6,5.4549428993194784037235446838895722996635713624485371411954057837e-7,2.4212268709168958328762608063325977678661934945310316720725066141e-23
relative error = 2.5393795066e-36

x=22, n=5, |dx| = 0.5
i,p_i,q_i
0,4.3954451051355196853665468040072035213041195214935728734708650073e1,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,1.0150046734354347190441009100253850336745329458615478192619460875e1,1.8537298284503177256712571534200367747047336513980913820503782069e-1
